stok_kodu,urun_adi,kategori,depo,donem,giris_miktar,cikis_miktar,donem_sonu_stok,birim_maliyet_tl,birim_satis_tl
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-01,380,400,3380,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-01,600,560,740,22,38
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-01,40,80,110,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-01,250,295,4255,9,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-01,77,170,2,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-01,260,195,825,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-01,20,35,40,120,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-01,400,390,1460,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-01,850,890,7460,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-01,700,680,5120,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-01,60,22,78,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-01,300,290,990,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-01,110,130,260,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-01,5,10,25,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-01,300,320,1830,44,75
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-02,380,400,3360,28,45
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-02,380,400,3360,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-02,600,560,780,22,38
U003,Havana Giyimlik Deri,Giyimlik,Ana Depo,2026-02,40,80,70,55,89
U004,Marbella Döşemelik Deri,Döşemelik,Yan Depo,2026-02,250,295,4210,9,16
U005,Barcelona Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-02,77,79,0,42,72
U006,Verona Döşemelik Deri,Döşemelik,Ana Depo,2026-02,260,218,867,31,52
U007,Cortina Çantalık Deri,Çantalık,Ana Depo,2026-02,20,35,25,122,210
U008,Ravenna Giyimlik Deri,Giyimlik,Ana Depo,2026-02,400,390,1470,26,44
U009,Sevilla Ayakkabılık Deri,Ayakkabılık,Yan Depo,2026-02,850,890,7420,14,22
U010,Napoli Çantalık Deri,Çantalık,Yan Depo,2026-02,700,680,5140,8,13
U011,Valencia Giyimlik Deri,Giyimlik,Ana Depo,2026-02,60,27,111,48,80
U012,Palermo Döşemelik Deri,Döşemelik,Ana Depo,2026-02,300,290,1000,19,32
U013,Firenze Ayakkabılık Deri,Ayakkabılık,Ana Depo,2026-02,110,130,240,60,98
U014,Bari Çantalık Deri,Çantalık,Yan Depo,2026-02,5,9,21,35,60
U015,Trieste Giyimlik Deri,Giyimlik,Ana Depo,2026-02,300,320,1810,44,75
U001,Milano Giyimlik Deri,Giyimlik,Ana Depo,2026-03,380,400,3340,28,45
U002,Toscana Giyimlik Deri,Giyimlik,Ana Depo,2026-03,600,560,820,22,38
